ID	TARGET	TEXT	STANCE	CLEAN_SENTENCES	SEGMENT_SENTENCES
492	IphoneSE	手机屏幕尺寸的争论越来越大，以至于现在的5-5.2英寸屏都被称为“小屏”！iPhone SE让小屏手机再次成为热点	NONE	手机屏幕尺寸的争论越来越大 以至于现在的 英寸屏都被称为 小屏 让小屏手机再次成为热点	手机,屏幕,尺寸,的,争论,越来,越来越,大,以至,以至于,至于,现在,的,英寸,屏,都,被,称为,小,屏,让,小,屏,手机,再次,成为,热点
493	IphoneSE	Iphone SE 的手感实在是太好了	FAVOR	 的手感实在是太好了	的,手感,实在,是,太好了
494	IphoneSE	iphone5se 5s的外形6s的配置 简直是在打击国产	FAVOR	 的外形 的配置 简直是在打击国产	的,外形,的,配置,简直,是,在,打击,国产
495	IphoneSE	跟舍友的iPhoneSE对比了一下app启动速度各种性能什么的。。。表示完败。。。	FAVOR	跟舍友的 对比了一下 启动速度各种性能什么的 表示完败 	跟,舍友,的,对比,了,一下,启动,速度,各种,种性,性能,什么,的,表示,完败
496	IphoneSE	5S的外表，6S的内心，iPhoneSe却是在苹果家族转型升级中推出的非常低廉的休憩！	FAVOR	 的外表 的内心 却是在苹果家族转型升级中推出的非常低廉的休憩 	的,外表,的,内心,却是,在,苹果,家族,转型,升级,中,推出,的,非常,非常低,低廉,的,休憩
497	IphoneSE	经过一周的体验，iPhone SE真的已经不是这个时代的产物了，虽然很便携，很轻，，但是每当输入文字时各种键盘的误触，看视频、新闻必须眯眯眼看的时候、你就会发现，当你用过了大屏手机就真的再也回不去了	AGAINST	经过一周的体验 真的已经不是这个时代的产物了 虽然很便携 很轻 但是每当输入文字时各种键盘的误触 看视频 新闻必须眯眯眼看的时候 你就会发现 当你用过了大屏手机就真的再也回不去了	经过,一周,的,体验,真的,已经,不是,这个,时代,的,产物,了,虽然,很,便携,很轻,但是,每当,输入,文字,时,各种,键盘,的,误触,看视,视频,新闻,必须,眯眯眼,眯眼,眼看,的,时候,你,就,会,发现,当,你,用,过,了,大,屏,手机,就,真的,再也,回不去,了
498	IphoneSE	一点都不比国产的手机贵。	FAVOR	一点都不比国产的手机贵 	一点,都,不,比国,国产,的,手机,贵
499	IphoneSE	已入一周，哪哪都好，屏幕正好。	FAVOR	已入一周 哪哪都好 屏幕正好 	已,入,一周,哪,哪,都,好,屏幕,正好
500	IphoneSE	苹果将在3月份将会推出4英寸iPhone5se，配置会低于6s以及6sp，而且并没有3DTouch功能 屏幕、摄像头、处理器、电池等等并没有再次升级看了苹果需要它与中低端的手机厂商竞争并抢占市场，看了又是场腥风血雨	AGAINST	苹果将在 月份将会推出 英寸 配置会低于 以及 而且并没有 功能 屏幕 摄像头 处理器 电池等等并没有再次升级看了苹果需要它与中低端的手机厂商竞争并抢占市场 看了又是场腥风血雨	苹果,将,在,月份,将,会,推出,英寸,配置,会,低于,以及,而且,并,没有,功能,屏幕,摄像,摄像头,像头,处理,处理器,理器,电池,等等,并,没有,再次,升级,看,了,苹果,需要,它,与,中低,中低端,低端,端的,手机,厂商,竞争,并,抢占,抢占市场,市场,看,了,又,是,场,腥风血雨,血雨
501	IphoneSE	没有什么优点可言，就拿相机来说，后一千二百万，现在手机市场上都是最低配，前一百二像素怎么那得出手	AGAINST	没有什么优点可言 就拿相机来说 后一千二百万 现在手机市场上都是最低配 前一百二像素怎么那得出手	没有,什么,优点,可言,就,拿,相机,来说,后,一千,一千二,一千二百,一千二百万,二百,二百万,百万,现在,在手,手机,市场,场上,都,是,最低,配,前,一百,一百二,百二,像素,怎么,那,得出,出手
502	IphoneSE	iPhone手机确实好用 不是用来装b的	FAVOR	 手机确实好用 不是用来装 的	手机,确实,好,用,不是,用来,装,的
503	IphoneSE	据《投资者商业日报》网站报道，苹果公司下周一料将发布新款4英寸iPhone手机，不过分析师却看淡这款设备的销量。	NONE	据 投资者商业日报 网站报道 苹果公司下周一料将发布新款 英寸 手机 不过分析师却看淡这款设备的销量 	据,投资,投资者,商业,日报,网站,报道,苹果,苹果公司,公司,下周,下周一,周一,料,将,发布,新款,英寸,手机,不过,过分,分析,分析师,却,看淡,这款,设备,的,销量
504	IphoneSE	并没有出现所谓的黄屏现象，感觉很顺手很熟悉，新手机应该会陪我度过一段不短的时间	FAVOR	并没有出现所谓的黄屏现象 感觉很顺手很熟悉 新手机应该会陪我度过一段不短的时间	并,没有,出现,所谓,的,黄,屏,现象,感觉,很顺,顺手,很熟,熟悉,新手,新手机,手机,应该,该会,陪,我,度过,一段,不,短,的,时间
505	IphoneSE	今晚iphone春季发布会，发布新机iphoneSE！大家拭目以待看看跟我手上用的是不是一摸一样 传闻电源开机键是在上面的不是侧面	NONE	今晚 春季发布会 发布新机 大家拭目以待看看跟我手上用的是不是一摸一样 传闻电源开机键是在上面的不是侧面	今晚,春季,发布,发布会,发布,新机,大家,拭目,拭目以待,以待,看看,跟,我,手上,用,的,是不是,不是,一,摸,一样,传闻,电源,开机,键,是,在,上面,的,不是,侧面
506	IphoneSE	到底入手哪个呢，因为之前有使用iphone的经历，所以还是认为安卓手机比较好用，但是安卓没有小屏手机，对使用大屏手机还是不太适应，摩托罗拉X极的外形真心不错，但屏幕太大，影响了手感，相对说iphone se的手感肯定要好，但还是用着不太习惯，要是X极有mini版的就好了，也想使用下摩托罗拉的手机。	NONE	到底入手哪个呢 因为之前有使用 的经历 所以还是认为安卓手机比较好用 但是安卓没有小屏手机 对使用大屏手机还是不太适应 摩托罗拉 极的外形真心不错 但屏幕太大 影响了手感 相对说 的手感肯定要好 但还是用着不太习惯 要是 极有 版的就好了 也想使用下摩托罗拉的手机 	到底,入手,哪个,呢,因为,之前,有,使用,的,经历,所以,还是,认为,安,卓,手机,比较,好,用,但是,安,卓,没有,小,屏,手机,对,使用,大,屏,手机,还是,不,太,适应,摩托,摩托罗拉,托罗,罗拉,极,的,外形,真心,不错,但,屏幕,太大,影响,了,手感,相对,说,的,手感,肯定,定要,好,但,还是,用,着,不,太,习惯,要是,极,有,版,的,就,好,了,也,想,使用,下,摩托,摩托罗拉,托罗,罗拉,的,手机
507	IphoneSE	港行 iPhone SE 价格也有了，16GB 3488 港币（约 2916 人民币），64GB 4288 港币（约 3585 人民币）。也就是说，可以用低于 3000 块的价格拿到 iPhone SE 了。	NONE	港行 价格也有了 港币 约 人民币 港币 约 人民币 也就是说 可以用低于 块的价格拿到 了 	港,行,价格,也,有,了,港币,约,人民,人民币,港币,约,人民,人民币,也就是说,就是,就是说,可以,用,低于,块,的,价格,拿到,了
508	IphoneSE	RBC Capital Markets分析师Amit Daryanani已在一份投资者报告中表示，鉴于苹果公司将在iPhone SE当中使用优质组件，因此，iPhone SE有可能最少卖549美元，约合人民币3554元	NONE	 分析师 已在一份投资者报告中表示 鉴于苹果公司将在 当中使用优质组件 因此 有可能最少卖 美元 约合人民币 元	分析,分析师,已,在,一份,投资,投资者,报告,中表,表示,鉴于,苹果,苹果公司,公司,将,在,当中,使用,优质,组件,因此,有,可能,最少,少卖,美元,约合,人民,人民币,元
509	IphoneSE	我嫌弃凸出的摄像头，所以比较喜欢5S和SE	FAVOR	我嫌弃凸出的摄像头 所以比较喜欢 和 	我,嫌弃,凸出,的,摄像,摄像头,像头,所以,比较,喜欢,和
510	IphoneSE	同一个无线，iphone5的上网速度比iphoneSE快三倍= =……SE的图片和视频还老刷不出来……SE一旦更新程序，整体网络就卡的不行，包括我的笔记本的网络……重置了网络关了定位也没有变化……唉，下下周末要拿去旗舰店看看……	AGAINST	同一个无线 的上网速度比 快三倍 的图片和视频还老刷不出来 一旦更新程序 整体网络就卡的不行 包括我的笔记本的网络 重置了网络关了定位也没有变化 唉 下下周末要拿去旗舰店看看 	同一,同一个,一个,无线,的,上网,网速,速度,比,快,三倍,的,图片,和,视频,还,老,刷,不出,出来,一旦,更新,程序,整体,网络,就,卡,的,不行,包括,我,的,笔记,笔记本,的,网络,重置,了,网络,关了,定位,也,没有,有变,变化,唉,下下,下周,周末,要,拿,去,旗舰,旗舰店,看看
511	IphoneSE	除了屏幕小。。三千以下。。屌得不行	FAVOR	除了屏幕小 三千以下 屌得不行	除了,屏幕,小,三千,以下,屌,得,不行
512	IphoneSE	iphonese快快上市，心情不爽，买买买！！！	NONE	 快快上市 心情不爽 买买买 	快快,快上,上市,心情,不爽,买买,买买
513	IphoneSE	废寝忘食忙活了一个礼拜的小苹果iPhone SE试用报告已出炉，求各位支持！	NONE	废寝忘食忙活了一个礼拜的小苹果 试用报告已出炉 求各位支持 	废寝忘食,忙活,了,一个,礼拜,的,小苹果,苹果,试用,报告,已,出炉,求,各位,支持
514	IphoneSE	Phone SE vs iPhone 6 vs iPhone 6s 配置对比。目前已经确定的是，iPhone SE 配备了 2GB 的内存，不过也值得注意，在 TouchID、显示屏，以及前置摄像头上都保持了 iPhone 5s 的水准，当然你也得看看价格。	NONE	 配置对比 目前已经确定的是 配备了 的内存 不过也值得注意 在 显示屏 以及前置摄像头上都保持了 的水准 当然你也得看看价格 	配置,对比,目前,已经,确定,的,是,配备,了,的,内存,不过,也,值得,值得注意,注意,在,显示,显示屏,以及,前置,摄像,摄像头,像头,头上,都,保持,了,的,水准,当然,你,也,得,看看,价格
515	IphoneSE	毫无吸引力	AGAINST	毫无吸引力	毫无,无吸引力,吸引,吸引力,引力
516	IphoneSE	摔不坏,耐用,内存大,不死机,像素好	FAVOR	摔不坏 耐用 内存大 不死机 像素好	摔,不坏,耐用,内存,大,不,死机,像素,好
517	IphoneSE	看上去很有实力，也很有魅力	FAVOR	看上去很有实力 也很有魅力	看上,看上去,上去,很,有,实力,也,很,有,魅力
518	IphoneSE	坑爹。iPhone se。就是缩小版的6s。价格确比6s美丽多了。好难过。	AGAINST	坑爹 就是缩小版的 价格确比 美丽多了 好难过 	坑,爹,就是,缩小,版,的,价格,确,比,美丽,多,了,好,难过
519	IphoneSE	加拿大皇家银行分析师Amit Daryanani已经对iPhoneSE物料成本(16GB版本)进行了核算，其成本价格居然在260美元左右，这多少有点出乎意料。相比260美元的成本价来说，Amit Daryanani认为苹果给出的16GB 399美元价格(国行售价3288元)，还是非常良心和厚道的。	FAVOR	加拿大皇家银行分析师 已经对 物料成本 版本 进行了核算 其成本价格居然在 美元左右 这多少有点出乎意料 相比 美元的成本价来说 认为苹果给出的 美元价格 国行售价 元 还是非常良心和厚道的 	加拿,加拿大,皇家,银行,分析,分析师,已经,对,物料,成本,版本,进行,了,核算,其,成本,成本价,本价,价格,居然,在,美元,左右,这,多少,少有,有点,点出,出乎,出乎意料,意料,相比,美元,的,成本,成本价,本价,来说,认为,苹果,给出,的,美元,价格,国,行,售价,元,还是,是非,非常,良心,和,厚道,的
520	IphoneSE	PhoneSE就这么大，iPhone6就这么大，iPhoneplus就这么大，尺寸就像1元、5元、100元，人民币那样。	NONE	 就这么大 就这么大 就这么大 尺寸就像 元 元 元 人民币那样 	就,这么,大,就,这么,大,就,这么,大,尺寸,就,像,元,元,元,人民,人民币,那样
521	IphoneSE	在6s和SE之间，我居然也有选择综合症，小屏iPhone的使用体验其实并不比大屏幕差，最大的不同就是要做过多的滑屏动作，屏幕显示内容的确局限性很大。	NONE	在 和 之间 我居然也有选择综合症 小屏 的使用体验其实并不比大屏幕差 最大的不同就是要做过多的滑屏动作 屏幕显示内容的确局限性很大 	在,和,之间,我,居然,也,有,选择,综合,综合症,小,屏,的,使用,体验,其实,并不比,大屏幕,屏幕,差,最大,的,不同,就是,要,做,过,多,的,滑,屏,动作,屏幕,屏幕显示,显示,内容,的确,局限,局限性,限性,很大
522	IphoneSE	就坐等这个5se，他就是那种只爱用小屏手机的人，但是众所周知现在性能好的手机只有一个比一个大 。安卓是没希望了，之前还一直问我意见，我说不如买5s够用了，然后立马年前京东2天到手。。。前两天越看5se消息越心痒，折200正好转手给熟人。。。但愿他的选择是对的,不要又被苹果坑了	FAVOR	就坐等这个 他就是那种只爱用小屏手机的人 但是众所周知现在性能好的手机只有一个比一个大 安卓是没希望了 之前还一直问我意见 我说不如买 够用了 然后立马年前京东 天到手 前两天越看 消息越心痒 折 正好转手给熟人 但愿他的选择是对的 不要又被苹果坑了	就,坐等,这个,他,就是,那种,只,爱用,小,屏,手机,的,人,但是,众所周知,周知,现在,性能,好,的,手机,只有,一个,比,一个,大,安,卓,是,没,希望,了,之前,还,一直,问,我,意见,我,说,不如,买,够用,了,然后,立马,年前,京东,天,到手,前两天,两天,越,看,消息,越,心痒,折,正好,好转,转手,给,熟人,但愿,他,的,选择,是,对,的,不要,又,被,苹果,坑,了
523	IphoneSE	想到接下来的日子，觉得还是退了吧，否则那泛黄的屏幕将一直恶心着我，不知道会不会再入手，再见iphone SE。	AGAINST	想到接下来的日子 觉得还是退了吧 否则那泛黄的屏幕将一直恶心着我 不知道会不会再入手 再见 	想到,接下,接下来,下来,的,日子,觉得,还是,退,了,吧,否则,那,泛黄,的,屏幕,将,一直,恶心,着,我,不知,知道,会,不会,再入,入手,再见
524	IphoneSE	号称史上最强劲的4寸手机，IP5的外观，IP6的内在，回归了小尺寸的设计，那么问题来了：你是从几代手机开始，对苹果手机无感的？	AGAINST	号称史上最强劲的 寸手机 的外观 的内在 回归了小尺寸的设计 那么问题来了 你是从几代手机开始 对苹果手机无感的 	号称,史,上,最强,强劲,的,寸,手机,的,外观,的,内在,回归,了,小,尺寸,的,设计,那么,问题,来,了,你,是从,几代,手机,开始,对,苹果,手机,无感,的
525	IphoneSE	身为小屏手机死忠，一直用iphone4直到最近换成Z5C，尽管还是达到了4.6寸但也是现在市场上能买到的最佳的小屏，但大法没有苹果的号召力，小屏始终是小众，直到SE的出现。甭管是为了下探市场区间还是什么，估摸着一众安卓厂商今年也要开始做小屏了。。嘛大法好买买买 	FAVOR	身为小屏手机死忠 一直用 直到最近换成 尽管还是达到了 寸但也是现在市场上能买到的最佳的小屏 但大法没有苹果的号召力 小屏始终是小众 直到 的出现 甭管是为了下探市场区间还是什么 估摸着一众安卓厂商今年也要开始做小屏了 嘛大法好买买买 	身为,小,屏,手机,死忠,一直,用,直到,最近,换成,尽管,还是,达到,了,寸,但,也,是,现在,市场,场上,能,买到,的,最佳,的,小,屏,但,大法,没有,苹果,的,号召,号召力,小,屏,始终,终是,小众,直到,的,出现,甭管,是,为了,下探,市场,场区,区间,还是,什么,估摸,着,一,众,安,卓,厂商,今年,也,要,开始,做,小,屏,了,嘛,大法,好,买买,买买
526	IphoneSE	作为日常必须有安卓在手的双机党，越来越想买一台iPhone SE了。4寸屏幕够看，手感巨好，轻松拿放，单手操作十分惬意，性能流畅性也秒杀安卓旗舰，拍照也是旗舰品质，续航也还不赖，ios的生态也确实舒适。小屏不爽了不还有大屏安卓替代么，再大还有笔记本跟电视呢。	FAVOR	作为日常必须有安卓在手的双机党 越来越想买一台 了 寸屏幕够看 手感巨好 轻松拿放 单手操作十分惬意 性能流畅性也秒杀安卓旗舰 拍照也是旗舰品质 续航也还不赖 的生态也确实舒适 小屏不爽了不还有大屏安卓替代么 再大还有笔记本跟电视呢 	作为,日常,必须,有,安,卓,在手,的,双机,党,越来,越来越,想买,一台,了,寸,屏幕,够,看,手感,巨好,轻松,拿,放,单手,单手操作,操作,十分,惬意,性能,能流,能流畅,流畅,流畅性,也,秒杀,安,卓,旗舰,拍照,也,是,旗舰,品质,续航,也,还,不赖,的,生态,也,确实,舒适,小,屏,不爽,了,不,还有,大,屏,安,卓,替代,么,再,大,还有,有笔,笔记,笔记本,跟,电视,呢
527	IphoneSE	自iPhone 6s发布以后，IOS生态系统就进入了2G内存的时代。1G内存的手机包括iPhone 6在内的手机都会被迅速淘汰。一旦后续系统升级，1G内存必然卡到死，IOS 10就更不用说。所以iPhone 5Se这种手机可以很好地应对小屏癖，真是想做长线使用直接上6s，要不就安卓老老实实的。	NONE	自 发布以后 生态系统就进入了 内存的时代 内存的手机包括 在内的手机都会被迅速淘汰 一旦后续系统升级 内存必然卡到死 就更不用说 所以 这种手机可以很好地应对小屏癖 真是想做长线使用直接上 要不就安卓老老实实的 	自,发布,以后,生态,生态系,生态系统,系统,就,进入,了,内存,的,时代,内存,的,手机,包括,在内,的,手机,都,会,被,迅速,淘汰,一旦,后续,系统,系统升级,升级,内存,必然,卡,到,死,就,更,不用,不用说,所以,这种,手机,可以,很,好,地,应对,小,屏,癖,真是,想,做,长线,使用,直接,接上,要,不,就,安,卓,老老,老老实实,老实,实实,的
528	IphoneSE	iphone SE美国人自己都不买，发布会说 目标人群是 中国和印度没用过智能机的人	AGAINST	 美国人自己都不买 发布会说 目标人群是 中国和印度没用过智能机的人	美国,国人,自己,都,不,买,发布,发布会,说,目标,人群,是,中国,和,印度,没用,没用过,智能,智能机,的,人
529	IphoneSE	Apple并没有为了iPhone SE重新发明任何东西。越来越多分析师认为整体手机市场降温，但中低阶智能手机市场热度升高，而配备完整功能的产品只会出现在像是三星S7这样的旗舰机种；因此如果Apple的16GB版本iPhone SE售价只有399美元，我们初步估计是，iPhone SE成本约为220美元。	AGAINST	 并没有为了 重新发明任何东西 越来越多分析师认为整体手机市场降温 但中低阶智能手机市场热度升高 而配备完整功能的产品只会出现在像是三星 这样的旗舰机种 因此如果 的 版本 售价只有 美元 我们初步估计是 成本约为 美元 	并,没有,为了,重新,新发,新发明,发明,任何,东西,越来,越来越,越多,多分,分析,分析师,认为,整体,手机,市场,降温,但,中低,低阶,智能,智能手机,能手,手机,市场,热度,升高,而,配备,完整,功能,的,产品,只,会,出现,现在,像是,三星,这样,的,旗舰,旗舰机,机种,因此,如果,的,版本,售价,只有,美元,我们,初步,估计,是,成本,约,为,美元
530	IphoneSE	界面我还是很满意的有特色	FAVOR	界面我还是很满意的有特色	界面,我,还是,很,满意,的,有,特色
531	IphoneSE	缺点就是没有32G的，16G太小64G太大！这不是故意让人纠结吗！！！	AGAINST	缺点就是没有 的 太小 太大 这不是故意让人纠结吗 	缺点,就是,没有,的,太小,太大,这,不是,不是故意,故意,让,人,纠结,吗
532	IphoneSE	觉得iPhone se比iPhone6和6s好看的就我一个吗？……我一直觉得5s的大小正好，款式也经典，当然可以更薄一点我更喜欢。但是看见首页刷的全是说iPhone se鸡肋，外观怎么怎么的……平心而论我觉得比6好看这一点就可以打动我，1月的时候因为6s长得太丑，还打算买5s来着……	FAVOR	觉得 比 和 好看的就我一个吗 我一直觉得 的大小正好 款式也经典 当然可以更薄一点我更喜欢 但是看见首页刷的全是说 鸡肋 外观怎么怎么的 平心而论我觉得比 好看这一点就可以打动我 月的时候因为 长得太丑 还打算买 来着 	觉得,比,和,好看,的,就,我,一个,吗,我,一直,直觉,觉得,的,大小,正好,款式,也,经典,当然,可以,更,薄,一点,我,更,喜欢,但是,看见,首页,刷,的,全,是,说,鸡肋,外观,怎么,怎么,的,平心,平心而论,而论,我,觉得,比,好看,这,一点,就,可以,打动,我,月,的,时候,因为,长,得,太丑,还,打算,买,来,着
533	IphoneSE	网上曝光的图看起来不错，不太喜欢大屏手机。兜小	FAVOR	网上曝光的图看起来不错 不太喜欢大屏手机 兜小	网上,曝光,的,图,看起,看起来,起来,不错,不,太,喜欢,大,屏,手机,兜,小
534	IphoneSE	手感不好，就是好操作，太方了，没6这种圆角拿着舒服	AGAINST	手感不好 就是好操作 太方了 没 这种圆角拿着舒服	手感,不好,就是,好,操作,太,方,了,没,这种,圆角,拿,着,舒服
535	IphoneSE	iPhone se多大？我简单告诉你，SE也就1块钱那么大 6S就是5块钱那么大，6SP也就是100块钱那么大！怎么样形象不。	NONE	 多大 我简单告诉你 也就 块钱那么大 就是 块钱那么大 也就是 块钱那么大 怎么样形象不 	多,大,我,简单,告诉,你,也,就,块钱,那么,大,就是,块钱,那么,大,也,就是,块钱,那么,大,怎么,怎么样,形象,不
536	IphoneSE	四寸屏幕就算是1600毫安不玩游戏电量颇可以了，四寸屏回归，你的手拿起来更加舒服，而且价格对比各种苹果高大上其它产品来说真的良心多了	FAVOR	四寸屏幕就算是 毫安不玩游戏电量颇可以了 四寸屏回归 你的手拿起来更加舒服 而且价格对比各种苹果高大上其它产品来说真的良心多了	四寸,屏幕,就算,算是,毫安,不,玩游,玩游戏,游戏,电量,颇,可以,了,四寸,屏,回归,你,的,手,拿起,起来,更加,舒服,而且,价格,对比,各种,苹果,高大,上,其它,产品,来说,说真的,真的,良心,多,了
537	IphoneSE	小屏依旧很受欢迎	FAVOR	小屏依旧很受欢迎	小,屏,依旧,很,受欢迎,欢迎
538	IphoneSE	和iPhone 5S基本一致，4英寸小屏，不再突出的摄像头。与iPhone 6s一致的A9处理器，在性能上比iPhone 5s提高了将近两倍。配备1GB RAM+16GB ROM/64GB ROM内存组合，1200万像素主摄像头，支持4K视频录制，支持Apple Pay功能。16GB版售价3288元，64GB版售价4088元。	FAVOR	和 基本一致 英寸小屏 不再突出的摄像头 与 一致的 处理器 在性能上比 提高了将近两倍 配备 内存组合 万像素主摄像头 支持 视频录制 支持 功能 版售价 元 版售价 元 	和,基本,基本一致,一致,英寸,小,屏,不再,突出,的,摄像,摄像头,像头,与,一致,的,处理,处理器,理器,在,性能,上,比,提高,了,将近,两倍,配备,内存,组合,万,像素,主,摄像,摄像头,像头,支持,视频,录制,支持,功能,版,售价,元,版,售价,元
539	IphoneSE	看着iphone SE和5S的几乎一模一样的外形，真心无法分辨它们。当然希望商人们还没有那些奸商来干改装的缺德事。不过，我想苹果官网肯定是正宗的卖家。	NONE	看着 和 的几乎一模一样的外形 真心无法分辨它们 当然希望商人们还没有那些奸商来干改装的缺德事 不过 我想苹果官网肯定是正宗的卖家 	看着,和,的,几乎,一模一样,一样,的,外形,真心,无法,分辨,它们,当然,希望,商人,人们,还,没有,那些,奸商,来,干,改装,的,缺德,缺德事,不过,我,想,苹果,官,网,肯定,是,正宗,的,卖家
540	IphoneSE	这就是ios9.3的night shift的保护色 你们感受下 终于不会半夜打开手机瞎眼 至少这个程度可以缓解下 省不省电待我使用几天再说 暂时看来不怎么卡顿	FAVOR	这就是 的 的保护色 你们感受下 终于不会半夜打开手机瞎眼 至少这个程度可以缓解下 省不省电待我使用几天再说 暂时看来不怎么卡顿	这,就是,的,的,保护,保护色,你们,感受,下,终于,不会,半夜,打开,手机,瞎眼,至少,这个,程度,可以,缓解,解下,省,不,省电,待,我,使用,几天,再说,暂时,看来,不怎么,怎么,卡,顿
541	IphoneSE	如果苹果没有搞饥饿营销的话，那IPHONE SE真是很吃香啊，在东京问了两家店都是没有货，一个劲的鞠躬道歉，吓得我也鞠躬，这是要互跪嘛。。。当鼓起勇气去问有没有货的时候。。。不开玩笑，整个手都在抖，麻痹激动啊，简直为自己的这点出息感到震惊了。在此强烈鄙视那些随身带两个IP手机的某些人	AGAINST	如果苹果没有搞饥饿营销的话 那 真是很吃香啊 在东京问了两家店都是没有货 一个劲的鞠躬道歉 吓得我也鞠躬 这是要互跪嘛 当鼓起勇气去问有没有货的时候 不开玩笑 整个手都在抖 麻痹激动啊 简直为自己的这点出息感到震惊了 在此强烈鄙视那些随身带两个 手机的某些人	如果,苹果,没有,搞,饥饿,营销,的话,那,真是,很,吃香,啊,在,东京,问,了,两家,店,都,是,没有,有货,一个,一个劲,的,鞠躬,道歉,吓,得,我,也,鞠躬,这,是,要,互,跪,嘛,当,鼓起,鼓起勇气,勇气,去,问,有没有,没有,有货,的,时候,不开,开玩笑,玩笑,整个,手,都,在,抖,麻痹,激动,啊,简直,为,自己,的,这点,点出,出息,感到,震惊,了,在,此,强烈,鄙视,那些,随身,随身带,两个,手机,的,某些,人
542	IphoneSE	终于有一天 iPhone SE 也像 Nexus 那么良心：以前我们总羡慕Nexus的价格，现在，iPhone也这样做了。	FAVOR	终于有一天 也像 那么良心 以前我们总羡慕 的价格 现在 也这样做了 	终于,有,一天,也,像,那么,良心,以前,我们,总,羡慕,的,价格,现在,也,这样,做,了
543	IphoneSE	iPhone5se，单纯名字就无感了，你还不如叫6c。还有目前公布的配置也没什么诚意，想说爱你不容易。	AGAINST	 单纯名字就无感了 你还不如叫 还有目前公布的配置也没什么诚意 想说爱你不容易 	单纯,名字,就,无感,了,你,还,不如,叫,还有,目前,公布,的,配置,也,没什么,什么,诚意,想说爱,你,不容,容易
544	IphoneSE	如果真是一个没有3D Touch 功能的iPhone se，感觉真的会是一个败笔，肯定走不远！	AGAINST	如果真是一个没有 功能的 感觉真的会是一个败笔 肯定走不远 	如果,果真,真是,一个,没有,功能,的,感觉,真的,会,是,一个,败笔,肯定,走,不远
545	IphoneSE	我就想知道它的主要功能是什么。 有没有特殊的功能	NONE	我就想知道它的主要功能是什么 有没有特殊的功能	我,就,想,知道,它,的,主要,功能,是,什么,有没有,没有,特殊,的,功能
546	IphoneSE	暂时用着没有什么缺点，因屏幕小随之附带的是全键盘拼写偶尔会点错，毕竟屏幕尺寸在那 可以理解。	FAVOR	暂时用着没有什么缺点 因屏幕小随之附带的是全键盘拼写偶尔会点错 毕竟屏幕尺寸在那 可以理解 	暂时,用,着,没有,什么,缺点,因,屏幕,小,随之,附带,的,是,全,键盘,拼写,偶尔,会点,点错,毕竟,屏幕,尺寸,在,那,可以,理解
547	IphoneSE	外观上没有新意，性能有所提升，价格上就不怎么尽人意，总的来说还行，但是不会去买	AGAINST	外观上没有新意 性能有所提升 价格上就不怎么尽人意 总的来说还行 但是不会去买	外观,上,没有,新意,性能,有所,提升,价格,上,就,不怎么,怎么,尽,人意,总的来说,来说,还行,但是,不会,会去,买
548	IphoneSE	Phone SE跑分实实在在不咋地 绝对不是黑Iphone，但是事实就是跟不上潮流 运行内存就1g，跑分这么低 苹果看来是黔驴技穷娄………	AGAINST	 跑分实实在在不咋地 绝对不是黑 但是事实就是跟不上潮流 运行内存就 跑分这么低 苹果看来是黔驴技穷娄 	跑,分,实实,实实在,实实在在,实在,在,不,咋,地,绝对,不是,黑,但是,事实,就是,跟不上,上潮,潮流,运行,行内,内存,就,跑,分,这么,低,苹果,看来,是,黔驴,黔驴技穷,技穷,娄
549	IphoneSE	iPhone SE不是旗舰产品，它的用户定位和iPhone 6S的定位重合不大，它是iPhone 7的前奏，为的是让买不起6S的群体也能够获得同样强劲性能的产品，为的是让习惯小屏幕手机的群体继续留在iOS阵营。总之，选择旗舰的依然会坚持6S~7的升级路线，游走在旗舰边缘，对于旗舰由于各种原因升级动力不足的，SE才是你的菜。	NONE	 不是旗舰产品 它的用户定位和 的定位重合不大 它是 的前奏 为的是让买不起 的群体也能够获得同样强劲性能的产品 为的是让习惯小屏幕手机的群体继续留在 阵营 总之 选择旗舰的依然会坚持 的升级路线 游走在旗舰边缘 对于旗舰由于各种原因升级动力不足的 才是你的菜 	不是,旗舰,产品,它,的,用户,定位,和,的,定位,重合,不大,它,是,的,前奏,为的是,让,买不起,的,群体,也,能够,获得,同样,强劲,性能,的,产品,为的是,让,习惯,小,屏幕,手机,的,群体,继续,留在,阵营,总之,选择,旗舰,的,依然,会,坚持,的,升级,路线,游走,在,旗舰,边缘,对于,旗舰,由于,各种,原因,升级,动力,不足,的,才,是,你,的,菜
550	IphoneSE	用一块秒杀上代旗舰的CPU，一个老旧的外形设计，加上一个烂屏幕，卖旗舰五分之三的价格，这就是红米note3和iphone se。	AGAINST	用一块秒杀上代旗舰的 一个老旧的外形设计 加上一个烂屏幕 卖旗舰五分之三的价格 这就是红米 和 	用,一块,秒杀,上代,代旗,旗舰,的,一个,老,旧,的,外形,设计,加上,一个,烂,屏幕,卖,旗舰,五分,之三,的,价格,这,就是,红,米,和
551	IphoneSE	起码苹果的想法是很好的，就等你了	FAVOR	起码苹果的想法是很好的 就等你了	起码,苹果,的,想法,是,很,好,的,就,等,你,了
