ID	TARGET	TEXT	CLEAN_SENTENCES	SEGMENT_SENTENCES
645	春节放鞭炮	春节放鞭炮，清明烧纸钱。为什么把现在的两老放一边。鞭炮声音大，响声大面子大，烧纸钱森林环境怕。为的就是炫耀一下。。//【陵园禁明火市民工地烧纸】 http://t.cn/RqL9M0v	春节放鞭炮 清明烧纸钱 为什么把现在的两老放一边 鞭炮声音大 响声大面子大 烧纸钱森林环境怕 为的就是炫耀一下 陵园禁明火市民工地烧纸 	春节,放鞭,放鞭炮,鞭炮,清明,烧纸,纸钱,为什么,什么,把,现在,的,两,老,放,一边,鞭炮,鞭炮声,炮声,声音,大,响声,大面,面子,大,烧纸,纸钱,森林,环境,怕,为,的,就是,炫耀,一下,陵园,禁,明火,市民,民工,工地,烧纸
646	春节放鞭炮	没有爆竹的中国年 放鞭炮是我国的民间习俗，过年过节，人们会燃放鞭炮来表达自己的心情。 国传统节日春节将至，对于烟花爆竹个人都有自己的想法。是支持放烟花爆竹、还是不支持的两大观点再度被重新重视起... |没有爆竹的...	没有爆竹的中国年 放鞭炮是我国的民间习俗 过年过节 人们会燃放鞭炮来表达自己的心情 国传统节日春节将至 对于烟花爆竹个人都有自己的想法 是支持放烟花爆竹 还是不支持的两大观点再度被重新重视起 没有爆竹的 	没有,爆竹,的,中国,年,放鞭,放鞭炮,鞭炮,是,我国,的,民间,习俗,过年,过节,人们,会,燃放,燃放鞭炮,放鞭,放鞭炮,鞭炮,来,表达,自己,的,心情,国,传统,传统节日,节日,春节,将,至,对于,烟花,烟花爆竹,爆竹,个人,都,有,自己,的,想法,是,支持,放烟,烟花,烟花爆竹,爆竹,还是,不支,支持,的,两,大观,观点,再度,被,重新,重视,起,没有,爆竹,的
647	春节放鞭炮	春节放鞭炮作为一种传统习俗被传承了几千年，但对于放鞭炮造成扰民现象（比如半夜，清早放鞭炮，声音扰民、燃放造成大气污染、引发火灾）问题越来越受到大家关注。到底是如何来改变？	春节放鞭炮作为一种传统习俗被传承了几千年 但对于放鞭炮造成扰民现象 比如半夜 清早放鞭炮 声音扰民 燃放造成大气污染 引发火灾 问题越来越受到大家关注 到底是如何来改变 	春节,放鞭,放鞭炮,鞭炮,作为,一种,传统,传统习俗,习俗,被,传承,了,几千,几千年,千年,但,对于,放鞭,放鞭炮,鞭炮,造成,扰民,现象,比如,半夜,清早,放鞭,放鞭炮,鞭炮,声音,扰民,燃放,造成,成大,大气,大气污染,污染,引发,发火,火灾,问题,越来,越来越,受到,大家,关注,到底,是,如何,何来,改变
648	春节放鞭炮	正如大家所见，今年的春节还是有部分人坚守传统放鞭炮，造成了春节期间空气严重污染，到处都是烟雾缭绕，还伴随着巨大的噪音污染。一出门就被PM2.5吓了回来。所以说，一些传统的习俗有时也会带来危害。而抢红包作为一种新的庆祝方式，不但环保，而且也能让人们体会到乐趣。 |2016年2月1...	正如大家所见 今年的春节还是有部分人坚守传统放鞭炮 造成了春节期间空气严重污染 到处都是烟雾缭绕 还伴随着巨大的噪音污染 一出门就被 吓了回来 所以说 一些传统的习俗有时也会带来危害 而抢红包作为一种新的庆祝方式 不但环保 而且也能让人们体会到乐趣 年 月 	正如,大家,所见,今年,的,春节,还是,有,部分,人,坚守,传统,放鞭,放鞭炮,鞭炮,造成,了,春节,节期,期间,空气,严重,污染,到处,都,是,烟雾,缭绕,还,伴随,随着,巨大,的,噪音,污染,一出,出门,就,被,吓,了,回来,所以,说,一些,传统,的,习俗,有时,也,会,带来,危害,而,抢红包,红包,作为,一种,新,的,庆祝,方式,不但,环保,而且,也,能,让,人们,体会,到,乐趣,年,月
649	春节放鞭炮	晴朗、大风、好冷！今年春节不放鞭炮了！ |洛阳·重庆...	晴朗 大风 好冷 今年春节不放鞭炮了 洛阳 重庆 	晴朗,大风,好,冷,今年,今年春节,春节,不放,放鞭,放鞭炮,鞭炮,了,洛阳,重庆
650	春节放鞭炮	过个年嘛，不放鞭炮礼花能死吗？能死吗？能死吗？这边刚刚哄孩子睡下，那边就震耳欲聋，地动山摇，电光闪烁……远的近的……近的远的……交相更替……你方唱罢我登场…… 我不放鞭炮不单是因为我的孩子尚小，更是为了空气质量！要是春节期间也大雾！看你们还放不放！	过个年嘛 不放鞭炮礼花能死吗 能死吗 能死吗 这边刚刚哄孩子睡下 那边就震耳欲聋 地动山摇 电光闪烁 远的近的 近的远的 交相更替 你方唱罢我登场 我不放鞭炮不单是因为我的孩子尚小 更是为了空气质量 要是春节期间也大雾 看你们还放不放 	过,个,年,嘛,不放,放鞭,放鞭炮,鞭炮,礼花,能,死,吗,能,死,吗,能,死,吗,这边,刚刚,哄,孩子,睡下,那边,就,震耳,震耳欲聋,地动,地动山摇,电光,闪烁,远,的,近,的,近,的,远,的,交相,更替,你,方,唱,罢,我,登场,我,不放,放鞭,放鞭炮,鞭炮,不单,不单是,是因为,因为,我,的,孩子,子尚,小,更是,为了,空气,空气质量,气质,质量,要是,春节,节期,期间,也,大雾,看,你们,还,放,不放
651	春节放鞭炮	春节时，上海外环内彻底禁绝鞭炮，无数人叫好；我已10多年不放鞭炮，但觉得此举不妥：且不说高昂的执行成本，今天能禁鞭炮，明天就能禁一切有人看不惯的东西。果然，史上最严厉外牌限行政策出台；这几天连代购、海淘甚至正常买洋货都要收重税。行政手段如斯“高效”的背后，是公民权益一次次被损害。	春节时 上海外环内彻底禁绝鞭炮 无数人叫好 我已 多年不放鞭炮 但觉得此举不妥 且不说高昂的执行成本 今天能禁鞭炮 明天就能禁一切有人看不惯的东西 果然 史上最严厉外牌限行政策出台 这几天连代购 海淘甚至正常买洋货都要收重税 行政手段如斯 高效 的背后 是公民权益一次次被损害 	春节,节时,上海,海外,外环,内,彻底,禁绝,鞭炮,无数,数人,叫好,我,已,多年,不放,放鞭,放鞭炮,鞭炮,但,觉得,此举,不妥,且不说,高昂,的,执行,成本,今天,能,禁,鞭炮,明天,就,能,禁,一切,有人,看不惯,不惯,的,东西,果然,史,上,最,严厉,外,牌,限,行政,政策,出台,这,几天,连,代购,海,淘,甚至,至正,正常,买,洋货,都,要,收,重税,行政,手段,如斯,高效,的,背后,是,公民,公民权,民权,权益,一次,一次次,次次,被,损害
652	春节放鞭炮	春节放鞭炮，在增添喜庆氛围的同时，也会产生大量PM2.5等污染物。 根据乌鲁木齐市环保局网站公布的监测数据显示：2月14号大年初五当天，首府7个监测点位均不同程度出现中度至重度污染，首要污染物均为PM2.5。	春节放鞭炮 在增添喜庆氛围的同时 也会产生大量 等污染物 根据乌鲁木齐市环保局网站公布的监测数据显示 月 号大年初五当天 首府 个监测点位均不同程度出现中度至重度污染 首要污染物均为 	春节,放鞭,放鞭炮,鞭炮,在,增添,喜庆,氛围,的,同时,也,会,产生,大量,等,污染,污染物,根据,乌鲁木齐,乌鲁木齐市,环保,环保局,网站,公布,的,监测,监测数据,测数据,数据,显示,月,号,大年,年初,初五,当天,首府,个,监测,监测点,测点,点位,均,不同,程度,出现,中度,至,重度,污染,首要,污染,污染物,均,为
653	春节放鞭炮	#2013我的春节#行走在泥泞的乡路上，为外婆和外公上坟拜年，给外公外婆烧纸钱，放鞭炮啦！@荆门广播电视台 @中国农谷网 @荆门达人会	 我的春节 行走在泥泞的乡路上 为外婆和外公上坟拜年 给外公外婆烧纸钱 放鞭炮啦 荆门广播电视台 中国农谷网 荆门达人会	我,的,春节,行走,在,泥泞,的,乡,路上,为,外婆,和,外公,上坟,拜年,给,外公,外婆,烧纸,纸钱,放鞭,放鞭炮,鞭炮,啦,荆门,广播,广播电视,电视,电视台,中国,农,谷,网,荆门,达人,会
654	春节放鞭炮	只有少数人知道，在春节喊你出去放鞭炮，而不是给你群发短信一条；在端午节给你粽子而不是说“端午节快乐！”；在愚人节跟你开玩笑，却不用“愚人节快乐”来掩埋真相的人才是该珍惜的人。该说什么呢？XX冲昏头脑？反正真的没有多少人看得见。 --三十二	只有少数人知道 在春节喊你出去放鞭炮 而不是给你群发短信一条 在端午节给你粽子而不是说 端午节快乐 在愚人节跟你开玩笑 却不用 愚人节快乐 来掩埋真相的人才是该珍惜的人 该说什么呢 冲昏头脑 反正真的没有多少人看得见 三十二	只有,少数,数人,知道,在,春节,喊,你,出去,放鞭,放鞭炮,鞭炮,而,不是,给,你,群发,群发短信,发短,发短信,短信,一条,在,端午,端午节,给,你,粽子,而,不是,说,端午,端午节,快乐,在,愚人,愚人节,跟,你,开玩笑,玩笑,却,不用,愚人,愚人节,快乐,来,掩埋,真相,的,人才,是,该,珍惜,的,人,该,说,什么,呢,冲昏,冲昏头脑,昏头,头脑,反正,真的,没有,多少,人,看得,看得见,三十,三十二,十二
655	春节放鞭炮	最近没有建筑噪音家里也安静'娃的作息逐渐规律起来'已经过渡到三小时easy模式'接下来的一周多内'继续稳定作息'估计春节放鞭炮和家里来客人会有影响'要做好心理准备	最近没有建筑噪音家里也安静 娃的作息逐渐规律起来 已经过渡到三小时 模式 接下来的一周多内 继续稳定作息 估计春节放鞭炮和家里来客人会有影响 要做好心理准备	最近,没有,建筑,噪音,家里,也,安静,娃,的,作息,逐渐,规律,起来,已经,经过,过渡,渡到,三,小时,模式,接下,接下来,下来,的,一周,多,内,继续,稳定,定作,作息,估计,春节,放鞭,放鞭炮,鞭炮,和,家里,里来,来客,客人,会,有,影响,要,做好,好心,心理,心理准备,准备
656	春节放鞭炮	记得小时候对过节特别是过春节有着浓浓的渴望,那是因为可以穿新衣放鞭炮可以吃平时吃不到的东西可以收到压岁钱可以。。。	记得小时候对过节特别是过春节有着浓浓的渴望 那是因为可以穿新衣放鞭炮可以吃平时吃不到的东西可以收到压岁钱可以 	记得,小时,小时候,时候,对过,过节,特别,是,过,春节,有着,浓浓,浓浓的,渴望,那,是因为,因为,可以,穿,新衣,放鞭,放鞭炮,鞭炮,可以,吃,平时,吃,不到,的,东西,可以,收到,压岁,压岁钱,可以
657	春节放鞭炮	宝贝！ 想你了，这几天打雷，不知你还害怕吗？记得春节放鞭炮时，你躲到桌子底下 浑身发抖 不敢出。真得很想你！	宝贝 想你了 这几天打雷 不知你还害怕吗 记得春节放鞭炮时 你躲到桌子底下 浑身发抖 不敢出 真得很想你 	宝贝,想,你,了,这,几天,打雷,不知,你,还,害怕,吗,记得,春节,放鞭,放鞭炮,鞭炮,时,你,躲,到,桌子,底下,浑身,浑身发抖,发抖,不敢,敢出,真得,很,想,你
658	春节放鞭炮	祖国节日中外响，大家一起想一想，清香粽子端午节，八月十五月饼节，腊月三十是春节，贴春联来放鞭炮，穿着新衣把舞跳，三十晚上吃饺子，大年初一拜新年，正月十五闹花灯。	祖国节日中外响 大家一起想一想 清香粽子端午节 八月十五月饼节 腊月三十是春节 贴春联来放鞭炮 穿着新衣把舞跳 三十晚上吃饺子 大年初一拜新年 正月十五闹花灯 	祖国,节日,中外,响,大家,一起,想一想,清香,粽子,子端,端午,端午节,八月,十五,五月,月饼,节,腊月,三十,是,春节,贴,春联,来,放鞭,放鞭炮,鞭炮,穿着,新衣,把,舞,跳,三十,十晚,晚上,吃饺子,饺子,大年,大年初一,年初,年初一,初一,拜,新年,正月,正月十五,十五,闹,花灯
659	春节放鞭炮	龙年除夕夜，北京市空气质量因燃放烟花爆竹而变差。 市环保监测中心公布的数据显示，从除夕当天傍晚开始，伴随着全城各处燃放的烟花， ，PM2.5研究性数值直线上升，到凌晨1时达到峰值，为1593微克/立方米。保护空气质量，人人有责，在此强烈呼吁并建议，春节不放鞭炮，或者尽量少放鞭炮。	龙年除夕夜 北京市空气质量因燃放烟花爆竹而变差 市环保监测中心公布的数据显示 从除夕当天傍晚开始 伴随着全城各处燃放的烟花 研究性数值直线上升 到凌晨 时达到峰值 为 微克 立方米 保护空气质量 人人有责 在此强烈呼吁并建议 春节不放鞭炮 或者尽量少放鞭炮 	龙,年,除夕,除夕夜,北京,北京市,京市,空气,空气质量,气质,质量,因,燃放,燃放烟花,放烟,烟花,烟花爆竹,爆竹,而,变差,市,环保,监测,监测中心,中心,公布,的,数据,显示,从,除夕,当天,傍晚,开始,伴随,随着,全城,各处,燃放,的,烟花,研究,研究性,数值,直线,上升,到,凌晨,时,达到,峰值,为,微克,立方,立方米,保护,空气,空气质量,气质,质量,人人,人人有责,有责,在,此,强烈,强烈呼吁,呼吁,并建,建议,春节,不放,放鞭,放鞭炮,鞭炮,或者,尽量,尽量少,放鞭,放鞭炮,鞭炮
660	春节放鞭炮	第一次不放鞭炮不贴对联的春节,Happy New Year	第一次不放鞭炮不贴对联的春节 	第一,第一次,一次,不放,放鞭,放鞭炮,鞭炮,不,贴,对联,的,春节
661	春节放鞭炮	春节放鞭炮易 鞭炮炸手不易 且炸且行	春节放鞭炮易 鞭炮炸手不易 且炸且行	春节,放鞭,放鞭炮,鞭炮,易,鞭炮,炸,手,不易,且,炸,且,行
662	春节放鞭炮	江苏黄埔再生资源利用有限公司董事长陈光标2月4日下午在其个人微博立发布消息称，自己将申请改名为“陈光盘”。以此号召大家节约粮食，春节、婚礼等不放鞭炮，可放电子炮。节约用水，节约用电 。2009年，陈光标在2009年就曾把老婆孩子的名字分别改成张绿色和陈环保。	江苏黄埔再生资源利用有限公司董事长陈光标 月 日下午在其个人微博立发布消息称 自己将申请改名为 陈光盘 以此号召大家节约粮食 春节 婚礼等不放鞭炮 可放电子炮 节约用水 节约用电 年 陈光标在 年就曾把老婆孩子的名字分别改成张绿色和陈环保 	江苏,黄埔,再生,再生资源,资源,利用,有限,有限公司,公司,董事,董事长,陈,光标,月,日,下午,在,其,个人,微,博,立,发布,消息,称,自己,将,申请,改名,名为,陈,光盘,以此,号召,大家,节约,节约粮食,粮食,春节,婚礼,等,不放,放鞭,放鞭炮,鞭炮,可放,放电,电子,炮,节约,节约用水,用水,节约,节约用电,用电,年,陈,光标,在,年,就,曾,把,老婆,孩子,的,名字,分别,改成,张,绿色,和,陈,环保
663	春节放鞭炮	第一个没有你的春节，任何人都想象不到的冷清，从我记事起，每年春节的这个点儿都是我们爷俩一起出去放鞭炮（其实我是最害怕放鞭炮的，从来都不放，但是爸爸喜欢）哪怕是在去年春节你病重的眼睛已看不清了什... |我的春节	第一个没有你的春节 任何人都想象不到的冷清 从我记事起 每年春节的这个点儿都是我们爷俩一起出去放鞭炮 其实我是最害怕放鞭炮的 从来都不放 但是爸爸喜欢 哪怕是在去年春节你病重的眼睛已看不清了什 我的春节	第一,第一个,一个,没有,你,的,春节,任何,任何人,何人,都,想象,不到,的,冷清,从,我,记事,起,每年,春节,的,这个,点儿,都,是,我们,爷俩,俩一,一起,出去,放鞭,放鞭炮,鞭炮,其实,我,是,最,害怕,放鞭,放鞭炮,鞭炮,的,从来,都,不放,但是,爸爸,喜欢,哪怕,是,在,去年,春节,你,病重,的,眼睛,已,看不清,了,什,我,的,春节
664	春节放鞭炮	老祖宗燃放几千炮竹上千年了，也没有见到环境这么差，不要把什么问题都住放鞭炮身上推，不放鞭炮还有年味吗。不会改进鞭炮燃烧排放吗？//【新浪调查:六成受访者支持春节时禁放烟花爆竹】 http://http://t.cn/Rwa4CzS	老祖宗燃放几千炮竹上千年了 也没有见到环境这么差 不要把什么问题都住放鞭炮身上推 不放鞭炮还有年味吗 不会改进鞭炮燃烧排放吗 新浪调查 六成受访者支持春节时禁放烟花爆竹 	老祖,老祖宗,祖宗,燃放,几千,炮竹,上千,上千年,千年,了,也,没有,见到,环境,这么,差,不要,把,什么,问题,都,住,放鞭,放鞭炮,鞭炮,炮身,身上,上推,不放,放鞭,放鞭炮,鞭炮,还有,年,味,吗,不会,改进,鞭炮,燃烧,排放,吗,新浪,调查,六成,受访,受访者,支持,春节,节时,禁放,放烟,烟花,烟花爆竹,爆竹
665	春节放鞭炮	汉阳区政府昨天表示，今年区各机关单位春节不放鞭炮，并号召汉阳市民尽量不放鞭炮，过一个安静、环保的新年。放鞭炮不仅会加重雾霾天气，还会带来火灾隐患。今年，汉阳区政府决定各机关单位不再放“开门鞭”外，还号召市民少放鞭炮，尽量去限定的空旷地点燃放等。（武汉晚报）http://t.cn/zYyltYP	汉阳区政府昨天表示 今年区各机关单位春节不放鞭炮 并号召汉阳市民尽量不放鞭炮 过一个安静 环保的新年 放鞭炮不仅会加重雾霾天气 还会带来火灾隐患 今年 汉阳区政府决定各机关单位不再放 开门鞭 外 还号召市民少放鞭炮 尽量去限定的空旷地点燃放等 武汉晚报 	汉阳,汉阳区,区政,区政府,政府,昨天,表示,今年,区,各机,机关,单位,春节,不放,放鞭,放鞭炮,鞭炮,并,号召,汉阳,市民,尽量,不放,放鞭,放鞭炮,鞭炮,过,一个,安静,环保,的,新年,放鞭,放鞭炮,鞭炮,不仅,会,加重,雾,霾,天气,还,会,带来,火灾,隐患,今年,汉阳,汉阳区,区政,区政府,政府,决定,各机,机关,单位,不再,放,开门,鞭,外,还,号召,市民,少,放鞭,放鞭炮,鞭炮,尽量,去,限定,的,空旷,空旷地,旷地,地点,点燃,燃放,等,武汉,晚报
666	春节放鞭炮	移风易俗、文明过年！羊年春节期间，市区实行新的烟花爆竹“限燃令”。鞭炮放得少了，空气质量的确有了改善，根据空气质量指数实时监测数据显示：今年春节期间，只有17、18号两天，出现中度污染。小编觉得：少放、不放鞭炮的春节也很赞！你们怎么看？ http://t.cn/Rw0iNfu	移风易俗 文明过年 羊年春节期间 市区实行新的烟花爆竹 限燃令 鞭炮放得少了 空气质量的确有了改善 根据空气质量指数实时监测数据显示 今年春节期间 只有 号两天 出现中度污染 小编觉得 少放 不放鞭炮的春节也很赞 你们怎么看 	移风易俗,易俗,文明,过年,羊,年,春节,节期,期间,市区,实行,新,的,烟花,烟花爆竹,爆竹,限,燃,令,鞭炮,放得,少,了,空气,空气质量,气质,质量,的确,确有,了,改善,根据,空气,空气质量,气质,质量,指数,实时,监测,监测数据,测数据,数据,显示,今年,今年春节,春节,节期,期间,只有,号,两天,出现,中度,污染,小,编,觉得,少,放,不放,放鞭,放鞭炮,鞭炮,的,春节,也,很,赞,你们,怎么,看
667	春节放鞭炮	空洞的传统？有本事你自己端午中秋春节都别过？？？全世界都知道中国人春节放鞭炮，中国人自己要取消？我就呵呵了！ |禁鞭减危害...	空洞的传统 有本事你自己端午中秋春节都别过 全世界都知道中国人春节放鞭炮 中国人自己要取消 我就呵呵了 禁鞭减危害 	空洞,的,传统,有,本事,你,自己,端午,中秋,春节,都,别过,全世界,世界,都,知道,中国,国人,春节,放鞭,放鞭炮,鞭炮,中国,国人,自己,要,取消,我,就,呵呵,了,禁,鞭,减,危害
668	春节放鞭炮	过年!不是第一次在韩国度过这个节日了,不放鞭炮,不贴对联,不吃年夜饭,不走亲戚互相打招呼。,只能是意识中提醒我,奥,今天是春节了 http://t.cn/RZ6YqN4	过年 不是第一次在韩国度过这个节日了 不放鞭炮 不贴对联 不吃年夜饭 不走亲戚互相打招呼 只能是意识中提醒我 奥 今天是春节了 	过年,不是,第一,第一次,一次,在,韩国,国度,度过,这个,节日,了,不放,放鞭,放鞭炮,鞭炮,不,贴,对联,不吃,年夜,年夜饭,夜饭,不,走亲戚,亲戚,互相,相打,打招呼,招呼,只能,是,意识,中,提醒,我,奥,今天,是,春节,了
669	春节放鞭炮	近期全国各地PM2.5频频爆表，雾霾笼罩，若春节再放鞭炮，空气更是糟糕，为了大家都能呼吸到清洁的空气，益起来环保组织“绿色江城”志愿者向全社会发出倡议：“今年春节不放鞭！” @长江日报 @武汉晚报 @楚天都市报 @楚天金报 @湖北日报 @湖北经视直播 @武汉晨报 @长江商报	近期全国各地 频频爆表 雾霾笼罩 若春节再放鞭炮 空气更是糟糕 为了大家都能呼吸到清洁的空气 益起来环保组织 绿色江城 志愿者向全社会发出倡议 今年春节不放鞭 长江日报 武汉晚报 楚天都市报 楚天金报 湖北日报 湖北经视直播 武汉晨报 长江商报	近期,全国,各地,频频,爆,表,雾,霾,笼罩,若,春节,再,放鞭,放鞭炮,鞭炮,空气,更是,糟糕,为了,大家,都,能,呼吸,吸到,清洁,的,空气,益,起来,环保,组织,绿色,江城,志愿,志愿者,愿者,向,全社,社会,发出,倡议,今年,今年春节,春节,不放,放鞭,长江,长江日报,日报,武汉,晚报,楚,天都,都市,都市报,市报,楚天金,金报,湖北,湖北日报,日报,湖北,经,视,直播,武汉,晨报,长江,商报
670	春节放鞭炮	环保过年成山东人共识 青岛上演“海底后花园” - 环保过年成山东人共识 青岛上演“海底后花园”---据山东广播电视台新闻中心报道，今年春节，不放鞭炮、低碳出行，环保过年成为大家的共识。“这部情景剧讲述了美人鱼“绿波仙子”历经艰险，拯救污染的海洋，使美丽的... http://t.cn/8F6LRZa	环保过年成山东人共识 青岛上演 海底后花园 环保过年成山东人共识 青岛上演 海底后花园 据山东广播电视台新闻中心报道 今年春节 不放鞭炮 低碳出行 环保过年成为大家的共识 这部情景剧讲述了美人鱼 绿波仙子 历经艰险 拯救污染的海洋 使美丽的 	环保,过年,成山,山东,山东人,共识,青岛,岛上,上演,海底,后花园,花园,环保,过年,成山,山东,山东人,共识,青岛,岛上,上演,海底,后花园,花园,据,山东,广播,广播电视,电视,电视台,新闻,中心,报道,今年,今年春节,春节,不放,放鞭,放鞭炮,鞭炮,低,碳,出行,环保,过年,成为,大家,的,共识,这部,情景,情景剧,讲述,了,美人鱼,人鱼,绿波,仙子,历经,艰险,拯救,污染,的,海洋,使,美丽,的
671	春节放鞭炮	节也过完了，春节，元宵节，都00：00了，这鞭炮能不放了吗？试问放鞭炮的人，能有点公德心吗？你不睡觉，，，，，别影响别人睡觉，，，，，，，， 我在:|新华街	节也过完了 春节 元宵节 都 了 这鞭炮能不放了吗 试问放鞭炮的人 能有点公德心吗 你不睡觉 别影响别人睡觉 我在 新华街	节,也,过完,了,春节,元宵,元宵节,都,了,这,鞭炮,能,不放,了,吗,试问,放鞭,放鞭炮,鞭炮,的,人,能,有点,公德,公德心,吗,你,不,睡觉,别,影响,别人,睡觉,我,在,新华,新华街
672	春节放鞭炮	【小年到】今天农历腊月二十三，民间传统的祭灶日，也称“小年”。小年这天，有祭灶、扫尘、放鞭炮等习俗，小年之后，家家户户开始准备年货，过年的气氛越来越浓，准备迎接春节的到来，大家小年快乐！	 小年到 今天农历腊月二十三 民间传统的祭灶日 也称 小年 小年这天 有祭灶 扫尘 放鞭炮等习俗 小年之后 家家户户开始准备年货 过年的气氛越来越浓 准备迎接春节的到来 大家小年快乐 	小,年,到,今天,农历,腊月,二十,二十三,十三,民间,传统,的,祭灶,日,也,称,小,年,小,年,这天,有,祭灶,扫,尘,放鞭,放鞭炮,鞭炮,等,习俗,小,年,之后,家家,家家户户,家户,户户,开始,准备,年货,过年,的,气氛,越来,越来越,浓,准备,迎接,春节,的,到来,大家,家小,年,快乐
673	春节放鞭炮	春节放鞭炮的习俗应该改改了:严重的噪音污染、空气污染、环境污染，昨天洗的车，今早是一层厚厚的灰尘。零点鞭炮声震耳欲聋，电视音量开到最大也什么都听不见。老祖宗留下的好的传统应该继承，反正我从未放过鞭！	春节放鞭炮的习俗应该改改了 严重的噪音污染 空气污染 环境污染 昨天洗的车 今早是一层厚厚的灰尘 零点鞭炮声震耳欲聋 电视音量开到最大也什么都听不见 老祖宗留下的好的传统应该继承 反正我从未放过鞭 	春节,放鞭,放鞭炮,鞭炮,的,习俗,应该,改改,了,严重,的,噪音,污染,空气,空气污染,污染,环境,环境污染,污染,昨天,洗,的,车,今,早,是,一层,厚厚,厚厚的,灰尘,零点,鞭炮,鞭炮声,炮声,震耳,震耳欲聋,电视,音量,开到,最大,也,什么,都,听不见,不见,老祖,老祖宗,祖宗,留下,的,好,的,传统,应该,继承,反正,我,从未,放过,鞭
674	春节放鞭炮	（投票）蛇年春节，你们那里的鞭炮垃圾产量有变化吗_中国环卫论坛-环卫科技网BBS http://t.cn/zYiooLf 各位网友春节好，今天看新闻发现不少地方都报导鞭炮垃圾产量下降，按照你的个人感觉，今年春节放鞭炮的增加了还是减少了？	 投票 蛇年春节 你们那里的鞭炮垃圾产量有变化吗 中国环卫论坛 环卫科技网 各位网友春节好 今天看新闻发现不少地方都报导鞭炮垃圾产量下降 按照你的个人感觉 今年春节放鞭炮的增加了还是减少了 	投票,蛇,年,春节,你们,那里,的,鞭炮,垃圾,产量,有变,变化,吗,中国,环卫,论坛,环卫,科技,科技网,各位,网友,春节,好,今天,看,新闻,发现,不少,地方,都,报导,鞭炮,垃圾,产量,下降,按照,你,的,个人,个人感觉,感觉,今年,今年春节,春节,放鞭,放鞭炮,鞭炮,的,增加,了,还是,减少,了
675	春节放鞭炮	春节放鞭炮的是少了？为何？一是市民环保意识真的强不少，很多天的雾霾真的使大家有一些觉醒。二呢，何方不是公款买爆竹作年货送礼的少了？我建议，既然过年放爆竹取消不了，那就放吧，但是时间可以短一些，比如，就允许假期放。春节假期结束，开工了，就禁止燃放。这样既照顾到了年味，又会少放些鞭炮	春节放鞭炮的是少了 为何 一是市民环保意识真的强不少 很多天的雾霾真的使大家有一些觉醒 二呢 何方不是公款买爆竹作年货送礼的少了 我建议 既然过年放爆竹取消不了 那就放吧 但是时间可以短一些 比如 就允许假期放 春节假期结束 开工了 就禁止燃放 这样既照顾到了年味 又会少放些鞭炮	春节,放鞭,放鞭炮,鞭炮,的,是,少,了,为何,一,是,市民,环保,意识,真的,强,不少,很多,多天,的,雾,霾,真的,使,大家,有,一些,觉醒,二,呢,何方,不是,公款,买,爆竹,作,年货,送礼,的,少,了,我,建议,既然,过年,放爆竹,爆竹,取消,不了,那,就,放,吧,但是,时间,可以,短,一些,比如,就,允许,假期,放,春节,春节假期,节假,假期,结束,开工,了,就,禁止,燃放,这样,既,照顾,顾到,了,年,味,又,会,少,放,些,鞭炮
676	春节放鞭炮	春节期间大家都喜欢穿红色的衣服，你有想过为什么吗？古时候有一种凶猛的怪兽叫“年”，为了驱赶年兽人们便穿红衣服、挂灯笼、放鞭炮。红色是太阳的颜色，吉祥、辟邪。随着时代变迁红色也成为喜庆、吉祥的象征。春晚一众明星红色上身，大长腿@李敏镐 也选择红枫礼服，连@张国立 都不得不为红色点个赞。	春节期间大家都喜欢穿红色的衣服 你有想过为什么吗 古时候有一种凶猛的怪兽叫 年 为了驱赶年兽人们便穿红衣服 挂灯笼 放鞭炮 红色是太阳的颜色 吉祥 辟邪 随着时代变迁红色也成为喜庆 吉祥的象征 春晚一众明星红色上身 大长腿 李敏镐 也选择红枫礼服 连 张国立 都不得不为红色点个赞 	春节,节期,期间,大家,都,喜欢,穿,红色,的,衣服,你,有,想,过为,为什么,什么,吗,古时,古时候,时候,有,一种,凶猛,的,怪兽,叫,年,为了,驱赶,年,兽人,人们,便,穿,红衣,红衣服,衣服,挂灯,灯笼,放鞭,放鞭炮,鞭炮,红色,是,太阳,的,颜色,吉祥,辟邪,随着,时代,变迁,红色,也,成为,喜庆,吉祥,的,象征,春晚,一,众,明星,红色,上身,大,长,腿,李,敏,镐,也,选择,红,枫,礼服,连,张国立,国立,都,不得,不得不,不为,红色,点,个,赞
677	春节放鞭炮	过一个环保低碳的春节，用不放鞭炮烟花的钱去福利院看望爷爷奶奶们，给他们买礼物、表演节目、元宵猜灯谜、做汤圆，这样的春节有意义，让孩子们在快乐中感悟太多太多。感谢组织策划这个活动的家长们!	过一个环保低碳的春节 用不放鞭炮烟花的钱去福利院看望爷爷奶奶们 给他们买礼物 表演节目 元宵猜灯谜 做汤圆 这样的春节有意义 让孩子们在快乐中感悟太多太多 感谢组织策划这个活动的家长们 	过,一个,环保,低,碳,的,春节,用,不放,放鞭,放鞭炮,鞭炮,烟花,的,钱,去,福利,福利院,看望,爷爷,爷爷奶奶,奶奶,们,给,他们,买,礼物,表演,节目,元宵,猜,灯谜,做,汤圆,这样,的,春节,有意,意义,让,孩子,们,在,快乐,中,感悟,太多,太多,感谢,组织,策划,这个,活动,的,家长,们
